"lambda","beta","risk","constraint","obj","policy_value"
0,0.05,-0.0238973504354342,0.189277329286273,-0.0238973504354342,0.472275592985004
9,0.05,0.625595282500662,-0.021895178683922,0.428538674345364,0.594065568113208
10,0.05,0.682408697040258,-0.0274342411391583,0.408066285648676,0.601765837508411
0,0.25,-0.0238973504354342,0.189447384601031,-0.0238973504354342,0.472275592985004
1,0.25,-0.012483323770874,0.160596736726287,0.148113412955414,0.488776170260438
2,0.25,0.0220781561484847,0.131590324199201,0.285258804546888,0.50480530247086
3,0.25,0.0942024138576853,0.0980945567297894,0.388486084047053,0.521620176456302
4,0.25,0.18780197513805,0.0681394358478259,0.460359718529353,0.538749347151753
5,0.25,0.304906979054005,0.0391795049593603,0.500804503850806,0.5519498089721
6,0.25,0.415510210837248,0.0170876227157253,0.5180359471316,0.566564605987485
7,0.25,0.49144111063836,0.00529846265334485,0.528530349211774,0.577879287547782
1,0.05,-0.0150474328706765,0.162950484063856,0.14790305119318,0.487204686710397
8,0.25,0.5526382658404,-0.00291510237589113,0.529317446833271,0.581022254647865
9,0.25,0.608978844651727,-0.00935644662631083,0.52477082501493,0.588722524043068
10,0.25,0.639214335330971,-0.0125508807719258,0.513705527611713,0.58919396910808
0,0.5,-0.0238973504354342,0.189659879685359,-0.0238973504354342,0.472275592985004
1,0.5,-0.0143158029139172,0.163144463975556,0.148828661061639,0.489090466970447
2,0.5,0.0351750135751146,0.126786217868123,0.288747449311361,0.50669108273091
3,0.5,0.0571801133527579,0.115825308466434,0.404656038752061,0.509991198185996
4,0.5,0.135230358632614,0.089095779644349,0.491613477210009,0.531363374466559
5,0.5,0.268213164128601,0.0547942736599639,0.54218453242842,0.545821023126939
6,0.5,0.364872232704156,0.0360160107384424,0.58096829713481,0.554778479362175
2,0.05,0.0121797760843223,0.13623316351793,0.284646103120182,0.501819483725782
7,0.5,0.449757865141591,0.0226280574207836,0.608154267087076,0.566564605987485
8,0.5,0.506840486069202,0.0150052929467239,0.626882829642992,0.572221946767634
9,0.5,0.56924914164916,0.00770187486951189,0.638566015474767,0.576622100707749
10,0.5,0.615979222508543,0.00304030057006199,0.646382228209163,0.580707957937857
0,1,-0.0238973504354342,0.190084331242896,-0.0238973504354342,0.472275592985004
1,1,-0.0136110807280193,0.163131158102573,0.149520077374554,0.489404763680455
2,1,0.0265266014749997,0.134776496600171,0.296079594675341,0.501976632080786
3,1,0.0454371175440211,0.126270342201314,0.424248144147962,0.506219637665897
4,1,0.0849064401352804,0.111147526904391,0.529496547752846,0.515019945546129
5,1,0.170559036558831,0.0884735096072655,0.612926584595158,0.531677671176567
3,0.05,0.112817985644453,0.0875644959736875,0.375511473565515,0.53026333598153
6,1,0.21417175905451,0.0791654478982966,0.68916444644429,0.535134934986658
7,1,0.332769914083141,0.0590128208058043,0.745859659723771,0.546135319836947
8,1,0.390392812494194,0.0511871991899379,0.799890406013698,0.553521292522142
9,1,0.45964496329106,0.0423675980021268,0.840953345310201,0.560592968497328
10,1,0.516599869748256,0.0364715052097311,0.881314921845567,0.562007303692365
0,1.5,-0.0238973504354342,0.190507558769357,-0.0238973504354342,0.47211844463
1,1.5,-0.00935061988532684,0.161059512238856,0.151708892353529,0.48846187355043
2,1.5,0.0242997233101868,0.139758161592749,0.303816046495684,0.504176709050844
3,1.5,0.0571079969989406,0.126448349882925,0.436453046647716,0.505591044245881
4,1.5,0.096129869872338,0.115053489582917,0.556343828204008,0.518634357711224
4,0.05,0.222822770572863,0.0532734472754317,0.43591655967459,0.543306649446873
5,1.5,0.118394881767907,0.109601965502514,0.666404709280478,0.52382025342636
6,1.5,0.133960536357599,0.105608816520126,0.767613435478353,0.523505956716352
7,1.5,0.243087036026046,0.0860165227308298,0.845202695141854,0.537335011956716
8,1.5,0.28870067171528,0.0796739803583292,0.926092514581913,0.541106572476815
9,1.5,0.3376778179651,0.0738337339693854,1.00218142368957,0.541578017541827
10,1.5,0.377971201999209,0.0692448437598577,1.07041963959779,0.545192429706922
0,2,-0.0238973504354342,0.190928968622192,-0.0238973504354342,0.471961296274996
1,2,-0.0224613013925683,0.17891640809768,0.156455106705112,0.476047153505104
2,2,0.00323859339723258,0.15497120746826,0.313181008333752,0.493804917620571
3,2,0.0230090221358366,0.143510554562205,0.453540685822453,0.50024800017574
5,0.05,0.376439738420878,0.0159008696028329,0.455944086435043,0.565464567502456
4,2,0.0853143547884197,0.124000039478448,0.581314512702211,0.511562681736038
5,2,0.097153348216626,0.121021578240297,0.702261239418113,0.517062874161183
6,2,0.104277785365869,0.118808945947073,0.817131461048305,0.516905725806178
7,2,0.174168524368465,0.106376468534797,0.918803804112043,0.524605995201381
8,2,0.217171976703329,0.100152586780224,1.01839267094513,0.528534704076484
9,2,0.207768745650123,0.10153498079495,1.12158357280467,0.528849000786493
10,2,0.279286235541383,0.0930903129585494,1.21018936512688,0.534977786631654
6,0.05,0.462104395551559,0.000486151818258243,0.465021306461109,0.577722139192778
7,0.05,0.537002516703563,-0.0109028288740373,0.460682714585302,0.585736705297989
8,0.05,0.58796997432033,-0.0176135742730615,0.447061380135838,0.58919396910808
