"lambda","beta","risk","constraint","obj","policy_value"
0,0.05,-0.0102397980279531,0.216145199820653,-0.0102397980279531,-0.150643981475806
1,0.05,-0.00962788578318416,0.172549663215874,0.16292177743269,-0.126083720308061
8,0.25,0.591991991076242,-0.00239686985545628,0.572817032232592,-0.0540667547383047
9,0.25,0.638919074580777,-0.00809013184314444,0.566107887992477,-0.0474808354980352
9,0.25,0.650486776536407,-0.00781255421733143,0.580173788580424,-0.0648620356960082
9,0.25,0.655574589588434,-0.00867791184549929,0.57747338297894,-0.0370378288084889
9,0.25,0.63670595247529,-0.00759187426547996,0.56837908408597,-0.0445065116285863
9,0.25,0.641120569522881,-0.00797776315944178,0.569320701087905,-0.050227401161888
10,0.25,0.689671556650648,-0.0131861505593505,0.557810051057143,-0.0428027930789955
10,0.25,0.70557984987466,-0.0134150751034461,0.571429098840199,-0.0609965690506197
10,0.25,0.693220088840552,-0.0123443154916245,0.569776933924307,-0.03441583310448
10,0.25,0.679071320424815,-0.0120072067670746,0.558999252754069,-0.0407508424723989
2,0.05,0.0567110363201241,0.122549769229636,0.301810574779396,-0.109280237981139
10,0.25,0.693976952458164,-0.0132555938773138,0.561421013685026,-0.044526542821148
0,0.5,-0.0102397980279531,0.216398335302473,-0.0102397980279531,-0.151259513373048
0,0.5,-0.0143358778032087,0.198926116265422,-0.0143358778032087,-0.146257719057473
0,0.5,-0.0141333050035239,0.200686162950799,-0.0141333050035239,-0.122491052434596
0,0.5,-0.0156231317938853,0.188479432043832,-0.0156231317938853,-0.137396728758288
0,0.5,-0.0129385195131126,0.19986313154278,-0.0129385195131126,-0.129806729836707
1,0.5,-0.00399057007170346,0.168723304182409,0.164732734110705,-0.128238620416195
1,0.5,-0.00521814287931927,0.171702044458606,0.166483901579287,-0.136538831491925
1,0.5,-0.00420654525040114,0.170110048048125,0.165903502797724,-0.111764706372741
1,0.5,-0.0131982958841932,0.178130450552204,0.164932154668011,-0.129509823530295
2,0.05,0.0526296252428778,0.126770205810526,0.30617003686393,-0.119530778252216
1,0.5,-0.00490395492923443,0.167800507895357,0.162896552966123,-0.11980114172847
2,0.5,0.0303967493909921,0.140484838891308,0.311366427173608,-0.114081386779627
2,0.5,0.0301001929491111,0.142898423377532,0.315897039704175,-0.127040827734685
2,0.5,0.0215349409878632,0.146792703180853,0.31512034734957,-0.104852172243991
2,0.5,0.0260563550323879,0.140395083998114,0.306846523028615,-0.113986391018053
2,0.5,0.0390961893043423,0.134271542554789,0.307639274413921,-0.112006090527866
3,0.5,0.0700974221319026,0.120919182609725,0.432854969961077,-0.107433642289413
3,0.5,0.107598809161531,0.107835061711913,0.431103994297271,-0.115333985894366
3,0.5,0.0641832245431348,0.124252879091288,0.436941861816999,-0.0936490996904984
3,0.5,0.0673633972670693,0.119807826750021,0.426786877517131,-0.101968249718254
2,0.05,0.0529874267119367,0.125364138835882,0.303715704383701,-0.0957943689028693
3,0.5,0.0651574440648402,0.121097549847788,0.428450093608204,-0.101651470276318
4,0.5,0.169210751540227,0.0870438503884562,0.517386153094052,-0.0953692171034684
4,0.5,0.169865911967002,0.0879038225313445,0.52148120209238,-0.107492610699435
4,0.5,0.191602410798939,0.0822742346826099,0.520699349529379,-0.082446027137006
4,0.5,0.165461651445278,0.0876751512037524,0.516162256260287,-0.0925790768277851
4,0.5,0.180691443502601,0.0832061665162323,0.51351610956753,-0.0917622262158506
5,0.5,0.293776863314097,0.0569852677637614,0.578703202132904,-0.0828123663997301
5,0.5,0.213862619101971,0.0767826042662225,0.597775640433083,-0.103516702149892
5,0.5,0.291318415722476,0.0588713019313145,0.585674925379048,-0.0677866875191383
5,0.5,0.273477525402135,0.0600783847478601,0.573869449141435,-0.0823135811342062
2,0.05,0.0517959759202834,0.123502204820468,0.298800385561219,-0.107226186536916
5,0.5,0.280783833961688,0.0589362194024798,0.575464930974087,-0.077684596435656
6,0.5,0.386857867125312,0.0394247940862141,0.623406631642597,-0.0738256006999959
6,0.5,0.391135892531853,0.0394103889916952,0.627598226482024,-0.0884966031849545
7,0.5,0.487152538319618,0.0228979916791007,0.647438480073323,-0.061391856375706
7,0.5,0.469283704705174,0.0270795728586637,0.658840714715819,-0.0827536241689489
7,0.5,0.483168738919427,0.0248899662459831,0.657398502641308,-0.0596823371612927
2,0.05,0.055884718514007,0.121626786943588,0.299138292401183,-0.106770608378207
8,0.5,0.549896773061141,0.0148192864004018,0.668451064264356,-0.0583141968894957
8,0.5,0.554733353073631,0.0158148399496419,0.681252072670766,-0.0754644584947878
8,0.5,0.542533702783002,0.0170304016597523,0.67877691606102,-0.053961619261637
8,0.5,0.542020644557243,0.0155765982823852,0.666633430816324,-0.0587780544220984
8,0.5,0.52875920103575,0.0174066759424529,0.668012608575374,-0.0631415904643805
9,0.5,0.582855806830703,0.010843712478723,0.68044921913921,-0.0583141968894957
9,0.5,0.603516012885567,0.0100810057525938,0.694245064658911,-0.0697214794787822
